path,pages,font_count,text_len,issues
dist/pdf/1ere_spe/eleves/1ere_spe_Portfolio_Individuel.pdf,4,3,3053,
dist/pdf/1ere_spe/eleves/1ere_spe_S1_ELEVE_Activite.pdf,5,3,4344,
dist/pdf/1ere_spe/eleves/1ere_spe_S2_ELEVE_Activite.pdf,4,6,4575,
dist/pdf/1ere_spe/eleves/1ere_spe_S3_ELEVE_Activite.pdf,4,3,4473,
dist/pdf/1ere_spe/eleves/1ere_spe_S4_ELEVE_Activite.pdf,4,4,4581,
dist/pdf/1ere_spe/eleves/1ere_spe_S5_ELEVE_Activite.pdf,4,5,4574,
dist/pdf/1ere_spe/enseignants/1ere_spe_Evaluation_Finale_PROF_Corrige_Bareme.pdf,4,5,1975,
dist/pdf/1ere_spe/enseignants/1ere_spe_Guide_Formateur.pdf,16,6,25160,
dist/pdf/1ere_spe/enseignants/1ere_spe_MASTER_Documentation_Stage.pdf,113,8,104159,
dist/pdf/1ere_spe/enseignants/1ere_spe_Mini_Diagnostic_PROF_Corrige.pdf,3,4,1824,
dist/pdf/1ere_spe/enseignants/1ere_spe_S1_AIDES_Cartes.pdf,2,3,1277,
dist/pdf/1ere_spe/enseignants/1ere_spe_S1_PROF_Fiche.pdf,7,4,5857,
dist/pdf/1ere_spe/enseignants/1ere_spe_S2_AIDES_Cartes.pdf,2,3,1290,
dist/pdf/1ere_spe/enseignants/1ere_spe_S2_PROF_Fiche.pdf,6,5,5961,
dist/pdf/1ere_spe/enseignants/1ere_spe_S3_AIDES_Cartes.pdf,2,3,1278,
dist/pdf/1ere_spe/enseignants/1ere_spe_S3_PROF_Fiche.pdf,6,3,5852,
dist/pdf/1ere_spe/enseignants/1ere_spe_S4_AIDES_Cartes.pdf,2,3,1252,
dist/pdf/1ere_spe/enseignants/1ere_spe_S4_PROF_Fiche.pdf,6,3,6110,
dist/pdf/1ere_spe/enseignants/1ere_spe_S5_AIDES_Cartes.pdf,2,3,1257,
dist/pdf/1ere_spe/enseignants/1ere_spe_S5_PROF_Fiche.pdf,6,4,5675,
dist/pdf/1ere_spe/enseignants/1ere_spe_Tableau_Bord_Enseignant.pdf,8,2,4537,
dist/pdf/1ere_spe/enseignants/index.pdf,2,2,893,
dist/pdf/1ere_spe/evaluations/1ere_spe_Evaluation_Finale_ELEVE.pdf,3,5,2929,
